Pavarde        Vardas           Galutinis(Vid)  Galutinis(Med)
Pavarde4486    Vardas4486                 4.00            4.00
Pavarde4487    Vardas4487                 7.60            8.20
Pavarde4488    Vardas4488                 5.20            5.00
Pavarde4489    Vardas4489                 4.80            4.80
Pavarde4490    Vardas4490                 1.70            1.40
Pavarde4491    Vardas4491                 2.90            2.80
Pavarde4492    Vardas4492                 5.10            5.00
Pavarde4493    Vardas4493                 7.20            7.60
Pavarde4494    Vardas4494                 2.70            2.60
Pavarde4495    Vardas4495                 2.80            2.40
Pavarde4496    Vardas4496                 3.50            3.80
Pavarde4497    Vardas4497                 7.10            7.00
Pavarde4498    Vardas4498                 5.80            6.00
Pavarde4499    Vardas4499                 5.20            5.20
Pavarde4500    Vardas4500                 4.90            4.40
Pavarde4501    Vardas4501                 6.30            6.20
Pavarde4502    Vardas4502                 3.00            2.80
Pavarde4503    Vardas4503                 7.30            7.00
Pavarde4504    Vardas4504                 2.70            2.80
Pavarde4505    Vardas4505                 6.70            7.20
Pavarde4506    Vardas4506                 9.20            9.00
Pavarde4507    Vardas4507                 2.50            2.60
Pavarde4508    Vardas4508                 1.60            1.00
Pavarde4509    Vardas4509                 8.20            8.20
Pavarde4510    Vardas4510                 7.00            7.60
Pavarde4511    Vardas4511                 6.00            6.20
Pavarde4512    Vardas4512                 7.20            7.20
Pavarde4513    Vardas4513                 4.50            4.20
Pavarde4514    Vardas4514                 4.10            4.00
Pavarde4515    Vardas4515                 5.20            5.00
Pavarde4516    Vardas4516                 4.10            4.00
Pavarde4517    Vardas4517                 2.80            2.80
Pavarde4518    Vardas4518                 7.40            7.60
Pavarde4519    Vardas4519                 3.70            3.40
Pavarde4520    Vardas4520                 2.20            2.20
Pavarde4521    Vardas4521                 7.60            7.40
Pavarde4522    Vardas4522                 4.00            3.60
Pavarde4523    Vardas4523                 3.10            2.40
Pavarde4524    Vardas4524                 3.50            3.40
Pavarde4525    Vardas4525                 3.30            2.60
Pavarde4526    Vardas4526                 8.10            8.40
Pavarde4527    Vardas4527                 6.40            6.80
Pavarde4528    Vardas4528                 6.60            6.60
Pavarde4529    Vardas4529                 5.30            5.20
Pavarde4530    Vardas4530                 3.00            3.00
Pavarde4531    Vardas4531                 4.60            5.00
Pavarde4532    Vardas4532                 6.10            6.00
Pavarde4533    Vardas4533                 7.60            7.20
Pavarde4534    Vardas4534                 4.90            4.40
Pavarde4535    Vardas4535                 8.20            8.20
Pavarde4536    Vardas4536                 8.00            8.00
Pavarde4537    Vardas4537                 5.40            5.40
Pavarde4538    Vardas4538                 5.00            5.00
Pavarde4539    Vardas4539                 6.50            6.60
Pavarde4540    Vardas4540                 2.60            2.40
Pavarde4541    Vardas4541                 5.50            5.60
Pavarde4542    Vardas4542                 7.80            7.80
Pavarde4543    Vardas4543                 8.10            8.20
Pavarde4544    Vardas4544                 7.10            6.60
Pavarde4545    Vardas4545                 7.00            7.20
Pavarde4546    Vardas4546                 7.20            7.40
Pavarde4547    Vardas4547                 4.40            4.60
Pavarde4548    Vardas4548                 4.00            3.80
Pavarde4549    Vardas4549                 4.70            4.40
Pavarde4550    Vardas4550                 6.00            6.00
Pavarde4551    Vardas4551                 5.60            5.80
Pavarde4552    Vardas4552                 5.50            5.20
Pavarde4553    Vardas4553                 4.30            4.40
Pavarde4554    Vardas4554                 7.90            7.60
Pavarde4555    Vardas4555                 3.60            3.00
Pavarde4556    Vardas4556                 7.50            7.40
Pavarde4557    Vardas4557                 6.60            7.00
Pavarde4558    Vardas4558                 4.50            4.60
Pavarde4559    Vardas4559                 7.00            6.80
Pavarde4560    Vardas4560                 5.00            5.00
Pavarde4561    Vardas4561                 6.80            6.80
Pavarde4562    Vardas4562                 3.20            3.40
Pavarde4563    Vardas4563                 5.40            5.60
Pavarde4564    Vardas4564                 6.40            6.40
Pavarde4565    Vardas4565                 6.60            6.60
Pavarde4566    Vardas4566                 7.30            7.20
Pavarde4567    Vardas4567                 2.10            1.40
Pavarde4568    Vardas4568                 3.20            3.20
Pavarde4569    Vardas4569                 3.30            3.20
Pavarde4570    Vardas4570                 5.90            6.20
Pavarde4571    Vardas4571                 7.80            7.40
Pavarde4572    Vardas4572                 2.80            2.80
Pavarde4573    Vardas4573                 6.40            6.60
Pavarde4574    Vardas4574                 7.20            7.60
Pavarde4575    Vardas4575                 3.40            3.20
Pavarde4576    Vardas4576                 2.30            2.00
Pavarde4577    Vardas4577                 7.70            8.20
Pavarde4578    Vardas4578                 3.20            3.00
Pavarde4579    Vardas4579                 2.00            2.00
Pavarde4580    Vardas4580                 3.80            3.80
Pavarde4581    Vardas4581                 7.70            7.60
Pavarde4582    Vardas4582                 8.10            8.00
Pavarde4583    Vardas4583                 3.90            3.60
Pavarde4584    Vardas4584                 6.00            5.80
Pavarde4585    Vardas4585                 3.80            4.40
Pavarde4586    Vardas4586                 6.10            6.20
Pavarde4587    Vardas4587                 8.00            7.80
Pavarde4588    Vardas4588                 7.90            8.00
Pavarde4589    Vardas4589                 2.70            3.20
Pavarde4590    Vardas4590                 3.20            3.20
Pavarde4591    Vardas4591                 8.30            8.60
Pavarde4592    Vardas4592                 5.90            5.80
Pavarde4593    Vardas4593                 6.00            6.00
Pavarde4594    Vardas4594                 3.50            3.60
Pavarde4595    Vardas4595                 4.10            4.40
Pavarde4596    Vardas4596                 4.80            4.60
Pavarde4597    Vardas4597                 3.40            3.40
Pavarde4598    Vardas4598                 2.70            2.80
Pavarde4599    Vardas4599                 3.60            3.80
Pavarde4600    Vardas4600                 3.10            3.20
Pavarde4601    Vardas4601                 5.90            5.80
Pavarde4602    Vardas4602                 8.70            8.80
Pavarde4603    Vardas4603                 7.30            7.20
Pavarde4604    Vardas4604                 2.70            2.80
Pavarde4605    Vardas4605                 6.10            5.80
Pavarde4606    Vardas4606                 5.70            5.60
Pavarde4607    Vardas4607                 6.60            7.00
